frase,categoria,frase_norm,tokens,bigrams,trigrams
Por favor ordenar la cama.,Rutinas Diarias (Acciones y Hogar),por favor ordenar la cama,"['por', 'favor', 'ordenar', 'la', 'cama']","['por favor', 'favor ordenar', 'ordenar la', 'la cama']","['por favor ordenar', 'favor ordenar la', 'ordenar la cama']"
¿Donde esta mi tio?,Familia y Personas,donde esta mi tio,"['donde', 'esta', 'mi', 'tio']","['donde esta', 'esta mi', 'mi tio']","['donde esta mi', 'esta mi tio']"
Por favor poner la cama.,Rutinas Diarias (Acciones y Hogar),por favor poner la cama,"['por', 'favor', 'poner', 'la', 'cama']","['por favor', 'favor poner', 'poner la', 'la cama']","['por favor poner', 'favor poner la', 'poner la cama']"
Voy a descansar.,Necesidades Basicas (Higiene y Fisiologia),voy a descansar,"['voy', 'a', 'descansar']","['voy a', 'a descansar']",['voy a descansar']
Necesito colores para la clase.,Escuela y Aprendizaje,necesito colores para la clase,"['necesito', 'colores', 'para', 'la', 'clase']","['necesito colores', 'colores para', 'para la', 'la clase']","['necesito colores para', 'colores para la', 'para la clase']"
Por favor secar la ropa.,Rutinas Diarias (Acciones y Hogar),por favor secar la ropa,"['por', 'favor', 'secar', 'la', 'ropa']","['por favor', 'favor secar', 'secar la', 'la ropa']","['por favor secar', 'favor secar la', 'secar la ropa']"
Por favor encender la toalla.,Rutinas Diarias (Acciones y Hogar),por favor encender la toalla,"['por', 'favor', 'encender', 'la', 'toalla']","['por favor', 'favor encender', 'encender la', 'la toalla']","['por favor encender', 'favor encender la', 'encender la toalla']"
Por favor poner la manos.,Rutinas Diarias (Acciones y Hogar),por favor poner la manos,"['por', 'favor', 'poner', 'la', 'manos']","['por favor', 'favor poner', 'poner la', 'la manos']","['por favor poner', 'favor poner la', 'poner la manos']"
Quiero lanzar en el parque.,Emociones y Estados,quiero lanzar en el parque,"['quiero', 'lanzar', 'en', 'el', 'parque']","['quiero lanzar', 'lanzar en', 'en el', 'el parque']","['quiero lanzar en', 'lanzar en el', 'en el parque']"
Por favor poner la mesa.,Rutinas Diarias (Acciones y Hogar),por favor poner la mesa,"['por', 'favor', 'poner', 'la', 'mesa']","['por favor', 'favor poner', 'poner la', 'la mesa']","['por favor poner', 'favor poner la', 'poner la mesa']"
Por favor lavar la mesa.,Rutinas Diarias (Acciones y Hogar),por favor lavar la mesa,"['por', 'favor', 'lavar', 'la', 'mesa']","['por favor', 'favor lavar', 'lavar la', 'la mesa']","['por favor lavar', 'favor lavar la', 'lavar la mesa']"
Por favor quitar la puerta.,Rutinas Diarias (Acciones y Hogar),por favor quitar la puerta,"['por', 'favor', 'quitar', 'la', 'puerta']","['por favor', 'favor quitar', 'quitar la', 'la puerta']","['por favor quitar', 'favor quitar la', 'quitar la puerta']"
Quiero cantar en el parque.,Juego y Ocio,quiero cantar en el parque,"['quiero', 'cantar', 'en', 'el', 'parque']","['quiero cantar', 'cantar en', 'en el', 'el parque']","['quiero cantar en', 'cantar en el', 'en el parque']"
Quiero pasta.,Alimentacion (Comidas y Bebidas),quiero pasta,"['quiero', 'pasta']",['quiero pasta'],[]
Voy a cepillarme los dientes.,Necesidades Basicas (Higiene y Fisiologia),voy a cepillarme los dientes,"['voy', 'a', 'cepillarme', 'los', 'dientes']","['voy a', 'a cepillarme', 'cepillarme los', 'los dientes']","['voy a cepillarme', 'a cepillarme los', 'cepillarme los dientes']"
Voy a descansar ahora.,Necesidades Basicas (Higiene y Fisiologia),voy a descansar ahora,"['voy', 'a', 'descansar', 'ahora']","['voy a', 'a descansar', 'descansar ahora']","['voy a descansar', 'a descansar ahora']"
Necesito pizarra para la clase.,Escuela y Aprendizaje,necesito pizarra para la clase,"['necesito', 'pizarra', 'para', 'la', 'clase']","['necesito pizarra', 'pizarra para', 'para la', 'la clase']","['necesito pizarra para', 'pizarra para la', 'para la clase']"
Mi prima vendra a visitar manana ahora.,Familia y Personas,mi prima vendra a visitar manana ahora,"['mi', 'prima', 'vendra', 'a', 'visitar', 'manana', 'ahora']","['mi prima', 'prima vendra', 'vendra a', 'a visitar', 'visitar manana', 'manana ahora']","['mi prima vendra', 'prima vendra a', 'vendra a visitar', 'a visitar manana', 'visitar manana ahora']"
Por favor vestir la manos.,Rutinas Diarias (Acciones y Hogar),por favor vestir la manos,"['por', 'favor', 'vestir', 'la', 'manos']","['por favor', 'favor vestir', 'vestir la', 'la manos']","['por favor vestir', 'favor vestir la', 'vestir la manos']"
Por favor encender la luz.,Rutinas Diarias (Acciones y Hogar),por favor encender la luz,"['por', 'favor', 'encender', 'la', 'luz']","['por favor', 'favor encender', 'encender la', 'la luz']","['por favor encender', 'favor encender la', 'encender la luz']"
Por favor peinar la juguetes.,Rutinas Diarias (Acciones y Hogar),por favor peinar la juguetes,"['por', 'favor', 'peinar', 'la', 'juguetes']","['por favor', 'favor peinar', 'peinar la', 'la juguetes']","['por favor peinar', 'favor peinar la', 'peinar la juguetes']"
Por favor abrir la puerta.,Rutinas Diarias (Acciones y Hogar),por favor abrir la puerta,"['por', 'favor', 'abrir', 'la', 'puerta']","['por favor', 'favor abrir', 'abrir la', 'la puerta']","['por favor abrir', 'favor abrir la', 'abrir la puerta']"
Quiero llamar a mi abuelo.,Familia y Personas,quiero llamar a mi abuelo,"['quiero', 'llamar', 'a', 'mi', 'abuelo']","['quiero llamar', 'llamar a', 'a mi', 'mi abuelo']","['quiero llamar a', 'llamar a mi', 'a mi abuelo']"
Quiero llamar a mi vecino.,Familia y Personas,quiero llamar a mi vecino,"['quiero', 'llamar', 'a', 'mi', 'vecino']","['quiero llamar', 'llamar a', 'a mi', 'mi vecino']","['quiero llamar a', 'llamar a mi', 'a mi vecino']"
Quiero galletas.,Alimentacion (Comidas y Bebidas),quiero galletas,"['quiero', 'galletas']",['quiero galletas'],[]
¿Qué vamos a hacer?,Preguntas Simples (Peticiones de informacion),que vamos a hacer,"['que', 'vamos', 'a', 'hacer']","['que vamos', 'vamos a', 'a hacer']","['que vamos a', 'vamos a hacer']"
Quiero galletas ahora.,Alimentacion (Comidas y Bebidas),quiero galletas ahora,"['quiero', 'galletas', 'ahora']","['quiero galletas', 'galletas ahora']",['quiero galletas ahora']
Quiero llamar a mi abuelo despues.,Familia y Personas,quiero llamar a mi abuelo despues,"['quiero', 'llamar', 'a', 'mi', 'abuelo', 'despues']","['quiero llamar', 'llamar a', 'a mi', 'mi abuelo', 'abuelo despues']","['quiero llamar a', 'llamar a mi', 'a mi abuelo', 'mi abuelo despues']"
Voy a lavarme la cara.,Necesidades Basicas (Higiene y Fisiologia),voy a lavarme la cara,"['voy', 'a', 'lavarme', 'la', 'cara']","['voy a', 'a lavarme', 'lavarme la', 'la cara']","['voy a lavarme', 'a lavarme la', 'lavarme la cara']"
Por favor quitar la platos.,Rutinas Diarias (Acciones y Hogar),por favor quitar la platos,"['por', 'favor', 'quitar', 'la', 'platos']","['por favor', 'favor quitar', 'quitar la', 'la platos']","['por favor quitar', 'favor quitar la', 'quitar la platos']"
Por favor guardar la ropa.,Rutinas Diarias (Acciones y Hogar),por favor guardar la ropa,"['por', 'favor', 'guardar', 'la', 'ropa']","['por favor', 'favor guardar', 'guardar la', 'la ropa']","['por favor guardar', 'favor guardar la', 'guardar la ropa']"
¿Qué vamos a hacer rapido.,Preguntas Simples (Peticiones de informacion),que vamos a hacer rapido,"['que', 'vamos', 'a', 'hacer', 'rapido']","['que vamos', 'vamos a', 'a hacer', 'hacer rapido']","['que vamos a', 'vamos a hacer', 'a hacer rapido']"
Quiero saltar en el parque.,Juego y Ocio,quiero saltar en el parque,"['quiero', 'saltar', 'en', 'el', 'parque']","['quiero saltar', 'saltar en', 'en el', 'el parque']","['quiero saltar en', 'saltar en el', 'en el parque']"
Quiero patear en el parque.,Emociones y Estados,quiero patear en el parque,"['quiero', 'patear', 'en', 'el', 'parque']","['quiero patear', 'patear en', 'en el', 'el parque']","['quiero patear en', 'patear en el', 'en el parque']"
Necesito ir al bano.,Necesidades Basicas (Higiene y Fisiologia),necesito ir al bano,"['necesito', 'ir', 'al', 'bano']","['necesito ir', 'ir al', 'al bano']","['necesito ir al', 'ir al bano']"
Juguemos con la pelota.,Juego y Ocio,juguemos con la pelota,"['juguemos', 'con', 'la', 'pelota']","['juguemos con', 'con la', 'la pelota']","['juguemos con la', 'con la pelota']"
Juguemos a dibujar.,Juego y Ocio,juguemos a dibujar,"['juguemos', 'a', 'dibujar']","['juguemos a', 'a dibujar']",['juguemos a dibujar']
¿Cómo se usa la impresora?,Preguntas Simples (Peticiones de informacion),como se usa la impresora,"['como', 'se', 'usa', 'la', 'impresora']","['como se', 'se usa', 'usa la', 'la impresora']","['como se usa', 'se usa la', 'usa la impresora']"
Quiero bailar en el parque hoy.,Emociones y Estados,quiero bailar en el parque hoy,"['quiero', 'bailar', 'en', 'el', 'parque', 'hoy']","['quiero bailar', 'bailar en', 'en el', 'el parque', 'parque hoy']","['quiero bailar en', 'bailar en el', 'en el parque', 'el parque hoy']"
Quiero bailar en el parque por favor.,Juego y Ocio,quiero bailar en el parque por favor,"['quiero', 'bailar', 'en', 'el', 'parque', 'por', 'favor']","['quiero bailar', 'bailar en', 'en el', 'el parque', 'parque por', 'por favor']","['quiero bailar en', 'bailar en el', 'en el parque', 'el parque por', 'parque por favor']"
Quiero pollo aqui.,Alimentacion (Comidas y Bebidas),quiero pollo aqui,"['quiero', 'pollo', 'aqui']","['quiero pollo', 'pollo aqui']",['quiero pollo aqui']
Quiero galletas hoy.,Alimentacion (Comidas y Bebidas),quiero galletas hoy,"['quiero', 'galletas', 'hoy']","['quiero galletas', 'galletas hoy']",['quiero galletas hoy']
Por favor limpiar la mesa.,Rutinas Diarias (Acciones y Hogar),por favor limpiar la mesa,"['por', 'favor', 'limpiar', 'la', 'mesa']","['por favor', 'favor limpiar', 'limpiar la', 'la mesa']","['por favor limpiar', 'favor limpiar la', 'limpiar la mesa']"
Quiero arroz ahora.,Alimentacion (Comidas y Bebidas),quiero arroz ahora,"['quiero', 'arroz', 'ahora']","['quiero arroz', 'arroz ahora']",['quiero arroz ahora']
Quiero beber chocolate por favor.,Alimentacion (Comidas y Bebidas),quiero beber chocolate por favor,"['quiero', 'beber', 'chocolate', 'por', 'favor']","['quiero beber', 'beber chocolate', 'chocolate por', 'por favor']","['quiero beber chocolate', 'beber chocolate por', 'chocolate por favor']"
Juguemos con la plastilina.,Emociones y Estados,juguemos con la plastilina,"['juguemos', 'con', 'la', 'plastilina']","['juguemos con', 'con la', 'la plastilina']","['juguemos con la', 'con la plastilina']"
Quiero pegar mi libro.,Escuela y Aprendizaje,quiero pegar mi libro,"['quiero', 'pegar', 'mi', 'libro']","['quiero pegar', 'pegar mi', 'mi libro']","['quiero pegar mi', 'pegar mi libro']"
Juguemos con los bloques.,Juego y Ocio,juguemos con los bloques,"['juguemos', 'con', 'los', 'bloques']","['juguemos con', 'con los', 'los bloques']","['juguemos con los', 'con los bloques']"
Quiero llamar a mi mama.,Familia y Personas,quiero llamar a mi mama,"['quiero', 'llamar', 'a', 'mi', 'mama']","['quiero llamar', 'llamar a', 'a mi', 'mi mama']","['quiero llamar a', 'llamar a mi', 'a mi mama']"
Por favor quitar la cama.,Rutinas Diarias (Acciones y Hogar),por favor quitar la cama,"['por', 'favor', 'quitar', 'la', 'cama']","['por favor', 'favor quitar', 'quitar la', 'la cama']","['por favor quitar', 'favor quitar la', 'quitar la cama']"
Quiero dibujar mi colores.,Escuela y Aprendizaje,quiero dibujar mi colores,"['quiero', 'dibujar', 'mi', 'colores']","['quiero dibujar', 'dibujar mi', 'mi colores']","['quiero dibujar mi', 'dibujar mi colores']"
Por favor quitar la toalla.,Rutinas Diarias (Acciones y Hogar),por favor quitar la toalla,"['por', 'favor', 'quitar', 'la', 'toalla']","['por favor', 'favor quitar', 'quitar la', 'la toalla']","['por favor quitar', 'favor quitar la', 'quitar la toalla']"
¿Quién es tu papa despacio.,Preguntas Simples (Peticiones de informacion),quien es tu papa despacio,"['quien', 'es', 'tu', 'papa', 'despacio']","['quien es', 'es tu', 'tu papa', 'papa despacio']","['quien es tu', 'es tu papa', 'tu papa despacio']"
Por favor cerrar la puerta.,Rutinas Diarias (Acciones y Hogar),por favor cerrar la puerta,"['por', 'favor', 'cerrar', 'la', 'puerta']","['por favor', 'favor cerrar', 'cerrar la', 'la puerta']","['por favor cerrar', 'favor cerrar la', 'cerrar la puerta']"
Quiero jugar en el parque.,Juego y Ocio,quiero jugar en el parque,"['quiero', 'jugar', 'en', 'el', 'parque']","['quiero jugar', 'jugar en', 'en el', 'el parque']","['quiero jugar en', 'jugar en el', 'en el parque']"
Quiero llamar a mi amigo.,Familia y Personas,quiero llamar a mi amigo,"['quiero', 'llamar', 'a', 'mi', 'amigo']","['quiero llamar', 'llamar a', 'a mi', 'mi amigo']","['quiero llamar a', 'llamar a mi', 'a mi amigo']"
Necesito ir al bano por favor.,Necesidades Basicas (Higiene y Fisiologia),necesito ir al bano por favor,"['necesito', 'ir', 'al', 'bano', 'por', 'favor']","['necesito ir', 'ir al', 'al bano', 'bano por', 'por favor']","['necesito ir al', 'ir al bano', 'al bano por', 'bano por favor']"
Por favor lavar la luz.,Rutinas Diarias (Acciones y Hogar),por favor lavar la luz,"['por', 'favor', 'lavar', 'la', 'luz']","['por favor', 'favor lavar', 'lavar la', 'la luz']","['por favor lavar', 'favor lavar la', 'lavar la luz']"
Por favor vestir la toalla.,Rutinas Diarias (Acciones y Hogar),por favor vestir la toalla,"['por', 'favor', 'vestir', 'la', 'toalla']","['por favor', 'favor vestir', 'vestir la', 'la toalla']","['por favor vestir', 'favor vestir la', 'vestir la toalla']"
Quiero fruta.,Alimentacion (Comidas y Bebidas),quiero fruta,"['quiero', 'fruta']",['quiero fruta'],[]
Quiero fruta ahora.,Alimentacion (Comidas y Bebidas),quiero fruta ahora,"['quiero', 'fruta', 'ahora']","['quiero fruta', 'fruta ahora']",['quiero fruta ahora']
Voy a cepillarme los dientes aqui.,Necesidades Basicas (Higiene y Fisiologia),voy a cepillarme los dientes aqui,"['voy', 'a', 'cepillarme', 'los', 'dientes', 'aqui']","['voy a', 'a cepillarme', 'cepillarme los', 'los dientes', 'dientes aqui']","['voy a cepillarme', 'a cepillarme los', 'cepillarme los dientes', 'los dientes aqui']"
Quiero sumar mi libro.,Escuela y Aprendizaje,quiero sumar mi libro,"['quiero', 'sumar', 'mi', 'libro']","['quiero sumar', 'sumar mi', 'mi libro']","['quiero sumar mi', 'sumar mi libro']"
¿Dónde está la casa?,Preguntas Simples (Peticiones de informacion),donde esta la casa,"['donde', 'esta', 'la', 'casa']","['donde esta', 'esta la', 'la casa']","['donde esta la', 'esta la casa']"
Por favor peinar la cepillo.,Rutinas Diarias (Acciones y Hogar),por favor peinar la cepillo,"['por', 'favor', 'peinar', 'la', 'cepillo']","['por favor', 'favor peinar', 'peinar la', 'la cepillo']","['por favor peinar', 'favor peinar la', 'peinar la cepillo']"
Necesito cuaderno para la clase.,Escuela y Aprendizaje,necesito cuaderno para la clase,"['necesito', 'cuaderno', 'para', 'la', 'clase']","['necesito cuaderno', 'cuaderno para', 'para la', 'la clase']","['necesito cuaderno para', 'cuaderno para la', 'para la clase']"
Por favor guardar la ropa ahora.,Rutinas Diarias (Acciones y Hogar),por favor guardar la ropa ahora,"['por', 'favor', 'guardar', 'la', 'ropa', 'ahora']","['por favor', 'favor guardar', 'guardar la', 'la ropa', 'ropa ahora']","['por favor guardar', 'favor guardar la', 'guardar la ropa', 'la ropa ahora']"
¿Dónde está la casa alli.,Preguntas Simples (Peticiones de informacion),donde esta la casa alli,"['donde', 'esta', 'la', 'casa', 'alli']","['donde esta', 'esta la', 'la casa', 'casa alli']","['donde esta la', 'esta la casa', 'la casa alli']"
¿Donde esta mi hermana?,Familia y Personas,donde esta mi hermana,"['donde', 'esta', 'mi', 'hermana']","['donde esta', 'esta mi', 'mi hermana']","['donde esta mi', 'esta mi hermana']"
Por favor poner la luz.,Rutinas Diarias (Acciones y Hogar),por favor poner la luz,"['por', 'favor', 'poner', 'la', 'luz']","['por favor', 'favor poner', 'poner la', 'la luz']","['por favor poner', 'favor poner la', 'poner la luz']"
Quiero beber chocolate rapido.,Alimentacion (Comidas y Bebidas),quiero beber chocolate rapido,"['quiero', 'beber', 'chocolate', 'rapido']","['quiero beber', 'beber chocolate', 'chocolate rapido']","['quiero beber chocolate', 'beber chocolate rapido']"
Quiero pasta despacio.,Alimentacion (Comidas y Bebidas),quiero pasta despacio,"['quiero', 'pasta', 'despacio']","['quiero pasta', 'pasta despacio']",['quiero pasta despacio']
Quiero sumar mi mochila.,Escuela y Aprendizaje,quiero sumar mi mochila,"['quiero', 'sumar', 'mi', 'mochila']","['quiero sumar', 'sumar mi', 'mi mochila']","['quiero sumar mi', 'sumar mi mochila']"
Quiero armar en el parque.,Juego y Ocio,quiero armar en el parque,"['quiero', 'armar', 'en', 'el', 'parque']","['quiero armar', 'armar en', 'en el', 'el parque']","['quiero armar en', 'armar en el', 'en el parque']"
Por favor poner la cama ahora.,Rutinas Diarias (Acciones y Hogar),por favor poner la cama ahora,"['por', 'favor', 'poner', 'la', 'cama', 'ahora']","['por favor', 'favor poner', 'poner la', 'la cama', 'cama ahora']","['por favor poner', 'favor poner la', 'poner la cama', 'la cama ahora']"
Quiero ensalada.,Alimentacion (Comidas y Bebidas),quiero ensalada,"['quiero', 'ensalada']",['quiero ensalada'],[]
Por favor apagar la toalla rapido.,Rutinas Diarias (Acciones y Hogar),por favor apagar la toalla rapido,"['por', 'favor', 'apagar', 'la', 'toalla', 'rapido']","['por favor', 'favor apagar', 'apagar la', 'la toalla', 'toalla rapido']","['por favor apagar', 'favor apagar la', 'apagar la toalla', 'la toalla rapido']"
Por favor cerrar la platos.,Rutinas Diarias (Acciones y Hogar),por favor cerrar la platos,"['por', 'favor', 'cerrar', 'la', 'platos']","['por favor', 'favor cerrar', 'cerrar la', 'la platos']","['por favor cerrar', 'favor cerrar la', 'cerrar la platos']"
Quiero lanzar en el parque aqui.,Juego y Ocio,quiero lanzar en el parque aqui,"['quiero', 'lanzar', 'en', 'el', 'parque', 'aqui']","['quiero lanzar', 'lanzar en', 'en el', 'el parque', 'parque aqui']","['quiero lanzar en', 'lanzar en el', 'en el parque', 'el parque aqui']"
Quiero bailar en el parque alli.,Emociones y Estados,quiero bailar en el parque alli,"['quiero', 'bailar', 'en', 'el', 'parque', 'alli']","['quiero bailar', 'bailar en', 'en el', 'el parque', 'parque alli']","['quiero bailar en', 'bailar en el', 'en el parque', 'el parque alli']"
Por favor apagar la toalla alli.,Rutinas Diarias (Acciones y Hogar),por favor apagar la toalla alli,"['por', 'favor', 'apagar', 'la', 'toalla', 'alli']","['por favor', 'favor apagar', 'apagar la', 'la toalla', 'toalla alli']","['por favor apagar', 'favor apagar la', 'apagar la toalla', 'la toalla alli']"
Por favor guardar la toalla.,Rutinas Diarias (Acciones y Hogar),por favor guardar la toalla,"['por', 'favor', 'guardar', 'la', 'toalla']","['por favor', 'favor guardar', 'guardar la', 'la toalla']","['por favor guardar', 'favor guardar la', 'guardar la toalla']"
Por favor cerrar la puerta rapido.,Rutinas Diarias (Acciones y Hogar),por favor cerrar la puerta rapido,"['por', 'favor', 'cerrar', 'la', 'puerta', 'rapido']","['por favor', 'favor cerrar', 'cerrar la', 'la puerta', 'puerta rapido']","['por favor cerrar', 'favor cerrar la', 'cerrar la puerta', 'la puerta rapido']"
Por favor poner la puerta.,Rutinas Diarias (Acciones y Hogar),por favor poner la puerta,"['por', 'favor', 'poner', 'la', 'puerta']","['por favor', 'favor poner', 'poner la', 'la puerta']","['por favor poner', 'favor poner la', 'poner la puerta']"
Quiero beber leche.,Alimentacion (Comidas y Bebidas),quiero beber leche,"['quiero', 'beber', 'leche']","['quiero beber', 'beber leche']",['quiero beber leche']
Juguemos con la memoria.,Emociones y Estados,juguemos con la memoria,"['juguemos', 'con', 'la', 'memoria']","['juguemos con', 'con la', 'la memoria']","['juguemos con la', 'con la memoria']"
Por favor apagar la cepillo.,Rutinas Diarias (Acciones y Hogar),por favor apagar la cepillo,"['por', 'favor', 'apagar', 'la', 'cepillo']","['por favor', 'favor apagar', 'apagar la', 'la cepillo']","['por favor apagar', 'favor apagar la', 'apagar la cepillo']"
¿Quién es tu hermana?,Preguntas Simples (Peticiones de informacion),quien es tu hermana,"['quien', 'es', 'tu', 'hermana']","['quien es', 'es tu', 'tu hermana']","['quien es tu', 'es tu hermana']"
¿Quién es tu abuela?,Preguntas Simples (Peticiones de informacion),quien es tu abuela,"['quien', 'es', 'tu', 'abuela']","['quien es', 'es tu', 'tu abuela']","['quien es tu', 'es tu abuela']"
Quiero ensalada alli.,Alimentacion (Comidas y Bebidas),quiero ensalada alli,"['quiero', 'ensalada', 'alli']","['quiero ensalada', 'ensalada alli']",['quiero ensalada alli']
Por favor quitar la cama hoy.,Rutinas Diarias (Acciones y Hogar),por favor quitar la cama hoy,"['por', 'favor', 'quitar', 'la', 'cama', 'hoy']","['por favor', 'favor quitar', 'quitar la', 'la cama', 'cama hoy']","['por favor quitar', 'favor quitar la', 'quitar la cama', 'la cama hoy']"
Voy a respirar profundo despacio.,Necesidades Basicas (Higiene y Fisiologia),voy a respirar profundo despacio,"['voy', 'a', 'respirar', 'profundo', 'despacio']","['voy a', 'a respirar', 'respirar profundo', 'profundo despacio']","['voy a respirar', 'a respirar profundo', 'respirar profundo despacio']"
Quiero pan.,Alimentacion (Comidas y Bebidas),quiero pan,"['quiero', 'pan']",['quiero pan'],[]
Quiero dibujar mi lapiz.,Escuela y Aprendizaje,quiero dibujar mi lapiz,"['quiero', 'dibujar', 'mi', 'lapiz']","['quiero dibujar', 'dibujar mi', 'mi lapiz']","['quiero dibujar mi', 'dibujar mi lapiz']"
Juguemos con los bloques despacio.,Emociones y Estados,juguemos con los bloques despacio,"['juguemos', 'con', 'los', 'bloques', 'despacio']","['juguemos con', 'con los', 'los bloques', 'bloques despacio']","['juguemos con los', 'con los bloques', 'los bloques despacio']"
Quiero llamar a mi hermano.,Familia y Personas,quiero llamar a mi hermano,"['quiero', 'llamar', 'a', 'mi', 'hermano']","['quiero llamar', 'llamar a', 'a mi', 'mi hermano']","['quiero llamar a', 'llamar a mi', 'a mi hermano']"
Por favor apagar la ropa.,Rutinas Diarias (Acciones y Hogar),por favor apagar la ropa,"['por', 'favor', 'apagar', 'la', 'ropa']","['por favor', 'favor apagar', 'apagar la', 'la ropa']","['por favor apagar', 'favor apagar la', 'apagar la ropa']"
Quiero galletas despues.,Alimentacion (Comidas y Bebidas),quiero galletas despues,"['quiero', 'galletas', 'despues']","['quiero galletas', 'galletas despues']",['quiero galletas despues']
Por favor limpiar la luz.,Rutinas Diarias (Acciones y Hogar),por favor limpiar la luz,"['por', 'favor', 'limpiar', 'la', 'luz']","['por favor', 'favor limpiar', 'limpiar la', 'la luz']","['por favor limpiar', 'favor limpiar la', 'limpiar la luz']"
Por favor poner la juguetes.,Rutinas Diarias (Acciones y Hogar),por favor poner la juguetes,"['por', 'favor', 'poner', 'la', 'juguetes']","['por favor', 'favor poner', 'poner la', 'la juguetes']","['por favor poner', 'favor poner la', 'poner la juguetes']"
Por favor secar la manos.,Rutinas Diarias (Acciones y Hogar),por favor secar la manos,"['por', 'favor', 'secar', 'la', 'manos']","['por favor', 'favor secar', 'secar la', 'la manos']","['por favor secar', 'favor secar la', 'secar la manos']"
¿Cómo se usa la sandwich?,Preguntas Simples (Peticiones de informacion),como se usa la sandwich,"['como', 'se', 'usa', 'la', 'sandwich']","['como se', 'se usa', 'usa la', 'la sandwich']","['como se usa', 'se usa la', 'usa la sandwich']"
Por favor peinar la ropa.,Rutinas Diarias (Acciones y Hogar),por favor peinar la ropa,"['por', 'favor', 'peinar', 'la', 'ropa']","['por favor', 'favor peinar', 'peinar la', 'la ropa']","['por favor peinar', 'favor peinar la', 'peinar la ropa']"
Por favor poner la platos.,Rutinas Diarias (Acciones y Hogar),por favor poner la platos,"['por', 'favor', 'poner', 'la', 'platos']","['por favor', 'favor poner', 'poner la', 'la platos']","['por favor poner', 'favor poner la', 'poner la platos']"
Por favor limpiar la juguetes.,Rutinas Diarias (Acciones y Hogar),por favor limpiar la juguetes,"['por', 'favor', 'limpiar', 'la', 'juguetes']","['por favor', 'favor limpiar', 'limpiar la', 'la juguetes']","['por favor limpiar', 'favor limpiar la', 'limpiar la juguetes']"
Mi tio vendra a visitar manana ahora.,Familia y Personas,mi tio vendra a visitar manana ahora,"['mi', 'tio', 'vendra', 'a', 'visitar', 'manana', 'ahora']","['mi tio', 'tio vendra', 'vendra a', 'a visitar', 'visitar manana', 'manana ahora']","['mi tio vendra', 'tio vendra a', 'vendra a visitar', 'a visitar manana', 'visitar manana ahora']"
Quiero sopa.,Alimentacion (Comidas y Bebidas),quiero sopa,"['quiero', 'sopa']",['quiero sopa'],[]
Juguemos a dibujar ahora.,Emociones y Estados,juguemos a dibujar ahora,"['juguemos', 'a', 'dibujar', 'ahora']","['juguemos a', 'a dibujar', 'dibujar ahora']","['juguemos a dibujar', 'a dibujar ahora']"
Quiero beber jugo.,Alimentacion (Comidas y Bebidas),quiero beber jugo,"['quiero', 'beber', 'jugo']","['quiero beber', 'beber jugo']",['quiero beber jugo']
Es hora de respirar profundo.,Necesidades Basicas (Higiene y Fisiologia),es hora de respirar profundo,"['es', 'hora', 'de', 'respirar', 'profundo']","['es hora', 'hora de', 'de respirar', 'respirar profundo']","['es hora de', 'hora de respirar', 'de respirar profundo']"
Quiero escribir mi cuaderno.,Escuela y Aprendizaje,quiero escribir mi cuaderno,"['quiero', 'escribir', 'mi', 'cuaderno']","['quiero escribir', 'escribir mi', 'mi cuaderno']","['quiero escribir mi', 'escribir mi cuaderno']"
¿Quién es tu abuela alli.,Preguntas Simples (Peticiones de informacion),quien es tu abuela alli,"['quien', 'es', 'tu', 'abuela', 'alli']","['quien es', 'es tu', 'tu abuela', 'abuela alli']","['quien es tu', 'es tu abuela', 'tu abuela alli']"
¿Qué vamos a hacer hoy.,Preguntas Simples (Peticiones de informacion),que vamos a hacer hoy,"['que', 'vamos', 'a', 'hacer', 'hoy']","['que vamos', 'vamos a', 'a hacer', 'hacer hoy']","['que vamos a', 'vamos a hacer', 'a hacer hoy']"
Quiero correr en el parque.,Emociones y Estados,quiero correr en el parque,"['quiero', 'correr', 'en', 'el', 'parque']","['quiero correr', 'correr en', 'en el', 'el parque']","['quiero correr en', 'correr en el', 'en el parque']"
Por favor encender la platos.,Rutinas Diarias (Acciones y Hogar),por favor encender la platos,"['por', 'favor', 'encender', 'la', 'platos']","['por favor', 'favor encender', 'encender la', 'la platos']","['por favor encender', 'favor encender la', 'encender la platos']"
Juguemos a pintar.,Emociones y Estados,juguemos a pintar,"['juguemos', 'a', 'pintar']","['juguemos a', 'a pintar']",['juguemos a pintar']
Por favor poner la juguetes ahora.,Rutinas Diarias (Acciones y Hogar),por favor poner la juguetes ahora,"['por', 'favor', 'poner', 'la', 'juguetes', 'ahora']","['por favor', 'favor poner', 'poner la', 'la juguetes', 'juguetes ahora']","['por favor poner', 'favor poner la', 'poner la juguetes', 'la juguetes ahora']"
Mi tio vendra a visitar manana hoy.,Familia y Personas,mi tio vendra a visitar manana hoy,"['mi', 'tio', 'vendra', 'a', 'visitar', 'manana', 'hoy']","['mi tio', 'tio vendra', 'vendra a', 'a visitar', 'visitar manana', 'manana hoy']","['mi tio vendra', 'tio vendra a', 'vendra a visitar', 'a visitar manana', 'visitar manana hoy']"
